Shipment_ID,Batch_ID,Drug_ID,Drug_Name,Supplier_ID,Origin_Hub,Destination_Hub,Current_Latitude,Current_Longitude,Internal_Temperature_C,Temperature_Alert,Humidity_Level_pct,Humidity_Alert,Vibration_Alert,GPS_Speed_kmh,Battery_Level_pct,Signal_Strength_dBm,Timestamp,Transit_Status,Expected_Delivery,SLA_Breach
SHP000001,BAT000001,DRG0001,Amoxicillin 250mg,SUP004,Ahmedabad Hub,Jaipur Depot,23.453494,72.931085,26.7,Normal,47.6,Normal,ALERT: Severe,53.6,38,-76,2026-05-15 15:10:36,At Checkpoint,2026-05-24,On Track
SHP000002,BAT000002,DRG0002,Amoxicillin 500mg,SUP015,Chennai Port,Jaipur Depot,23.282638,76.980661,25.0,Normal,58.3,Normal,Normal,79.6,96,-107,2026-05-15 20:18:36,In Transit,2026-05-23,On Track
SHP000003,BAT000003,DRG0003,Amoxicillin-Clavulanate 625mg,SUP013,Lucknow Store,Bengaluru Pharma Hub,15.186624,78.173175,21.0,Normal,42.8,Normal,Normal,77.6,96,-76,2026-05-15 17:44:36,Delayed,2026-05-20,Breached
SHP000004,BAT000004,DRG0004,Azithromycin 250mg,SUP012,Bengaluru Pharma Hub,Hyderabad Depot,16.656837,78.345747,20.8,Normal,61.2,Normal,Normal,13.6,34,-69,2026-05-15 08:14:36,At Checkpoint,2026-05-23,On Track
SHP000005,BAT000005,DRG0005,Azithromycin 500mg,SUP002,Mumbai Warehouse,Kolkata Cold Chain,22.258411,87.162396,20.1,Normal,77.7,High Humidity Alert,Normal,64.1,91,-51,2026-05-15 23:30:36,In Transit,2026-05-18,On Track
SHP000006,BAT000006,DRG0006,Ciprofloxacin 250mg,SUP019,Delhi Cold Hub,Mumbai Warehouse,20.78042,73.646733,18.2,Normal,68.0,Normal,Normal,41.5,68,-103,2026-05-16 05:12:36,In Transit,2026-05-24,On Track
SHP000007,BAT000007,DRG0007,Ciprofloxacin 500mg,SUP009,Lucknow Store,Jaipur Depot,26.924788,76.223818,33.3,CRITICAL TEMP EXCURSION,75.0,Normal,Normal,33.5,31,-92,2026-05-16 04:38:36,Delayed,2026-05-19,On Track
SHP000008,BAT000008,DRG0008,Ciprofloxacin 750mg,SUP010,Chennai Port,Pune Distribution,16.630644,76.060903,18.6,Normal,56.5,Normal,Normal,70.5,90,-69,2026-05-16 02:01:36,In Transit,2026-05-21,On Track
SHP000009,BAT000009,DRG0009,Doxycycline 100mg,SUP019,Chennai Port,Kolkata Cold Chain,21.313188,87.315487,18.4,Normal,40.9,Normal,Normal,41.1,71,-52,2026-05-16 00:31:36,In Transit,2026-05-21,On Track
SHP000010,BAT000010,DRG0010,Levofloxacin 250mg,SUP010,Chennai Port,Pune Distribution,18.270925,74.155139,30.1,CRITICAL TEMP EXCURSION,67.9,Normal,Normal,39.0,69,-83,2026-05-15 21:34:36,In Transit,2026-05-17,On Track
SHP000011,BAT000011,DRG0011,Levofloxacin 500mg,SUP017,Mumbai Warehouse,Kolkata Cold Chain,22.259284,87.023879,35.0,CRITICAL TEMP EXCURSION,84.6,High Humidity Alert,Normal,88.8,20,-59,2026-05-15 15:29:36,At Checkpoint,2026-05-21,On Track
SHP000012,BAT000012,DRG0012,Meropenem 500mg Injection,SUP002,Delhi Cold Hub,Kolkata Cold Chain,24.946065,84.068579,4.8,Normal,58.8,Normal,Normal,33.1,91,-62,2026-05-16 00:06:36,Delivered,2026-05-22,On Track
SHP000013,BAT000013,DRG0013,Meropenem 1g Injection,SUP018,Jaipur Depot,Hyderabad Depot,24.073511,76.584896,6.0,Normal,38.8,Normal,Minor,41.3,21,-77,2026-05-15 22:45:36,At Checkpoint,2026-05-22,On Track
SHP000014,BAT000014,DRG0014,Vancomycin 500mg Injection,SUP018,Jaipur Depot,Lucknow Store,26.891761,78.431961,6.5,Normal,65.2,Normal,Minor,6.5,23,-87,2026-05-15 10:33:36,Delivered,2026-05-18,On Track
SHP000015,BAT000015,DRG0015,Piperacillin-Tazobactam 4.5g,SUP020,Pune Distribution,Ahmedabad Hub,22.326625,72.811724,12.6,CRITICAL TEMP EXCURSION,37.0,Normal,Normal,11.9,65,-81,2026-05-15 09:12:36,At Checkpoint,2026-05-25,On Track
SHP000016,BAT000016,DRG0016,Metronidazole 400mg,SUP010,Jaipur Depot,Bengaluru Pharma Hub,21.593211,76.432194,27.1,Normal,83.9,High Humidity Alert,Minor,33.2,37,-50,2026-05-16 04:15:36,Delivered,2026-05-21,On Track
SHP000017,BAT000017,DRG0017,Metronidazole 500mg IV,SUP020,Pune Distribution,Jaipur Depot,21.204197,74.45965,26.5,Normal,66.9,Normal,Normal,43.9,69,-72,2026-05-16 00:26:36,In Transit,2026-05-17,On Track
SHP000018,BAT000018,DRG0018,Clindamycin 150mg,SUP009,Jaipur Depot,Lucknow Store,26.862086,76.55483,19.7,Normal,44.6,Normal,Normal,12.7,81,-89,2026-05-15 13:15:36,At Checkpoint,2026-05-17,On Track
SHP000019,BAT000019,DRG0019,Clindamycin 300mg,SUP003,Ahmedabad Hub,Mumbai Warehouse,19.85941,72.8612,26.8,Normal,44.7,Normal,Normal,9.5,90,-88,2026-05-15 07:30:36,In Transit,2026-05-21,On Track
SHP000020,BAT000020,DRG0020,Ceftriaxone 1g Injection,SUP014,Ahmedabad Hub,Mumbai Warehouse,21.791673,72.631739,2.1,Normal,76.5,High Humidity Alert,Normal,44.7,20,-65,2026-05-15 11:08:36,In Transit,2026-05-16,On Track
SHP000021,BAT000021,DRG0021,Ceftriaxone 2g Injection,SUP002,Delhi Cold Hub,Kolkata Cold Chain,27.307901,79.642357,1.4,Normal,39.4,Normal,Normal,25.1,80,-99,2026-05-15 13:34:36,In Transit,2026-05-24,On Track
SHP000022,BAT000022,DRG0022,Cefuroxime 250mg,SUP018,Lucknow Store,Pune Distribution,19.496288,74.632806,32.9,CRITICAL TEMP EXCURSION,65.9,Normal,Minor,16.4,53,-65,2026-05-15 15:18:36,In Transit,2026-05-17,On Track
SHP000023,BAT000023,DRG0023,Cefixime 200mg,SUP002,Bengaluru Pharma Hub,Kolkata Cold Chain,13.711717,78.379469,27.3,Normal,30.3,Normal,Normal,5.3,64,-50,2026-05-15 11:33:36,Delayed,2026-05-16,Breached
SHP000024,BAT000024,DRG0024,Linezolid 600mg,SUP010,Lucknow Store,Pune Distribution,18.741893,74.070274,19.3,Normal,74.9,Normal,Normal,28.3,74,-105,2026-05-16 05:15:36,Delayed,2026-05-21,Breached
SHP000025,BAT000025,DRG0025,Tigecycline 50mg Injection,SUP020,Ahmedabad Hub,Mumbai Warehouse,19.746768,72.777201,7.5,Normal,62.7,Normal,ALERT: Severe,1.3,81,-94,2026-05-15 06:50:36,Delayed,2026-05-17,On Track
SHP000026,BAT000026,DRG0026,Colistin 150mg Injection,SUP008,Lucknow Store,Chennai Port,19.09716,80.546025,2.1,Normal,61.2,Normal,Normal,37.2,91,-74,2026-05-15 23:28:36,Delivered,2026-05-21,On Track
SHP000027,BAT000027,DRG0027,Trimethoprim-Sulfamethoxazole 480mg,SUP004,Bengaluru Pharma Hub,Chennai Port,12.999822,78.302865,19.1,Normal,64.3,Normal,ALERT: Severe,46.3,38,-80,2026-05-15 23:50:36,In Transit,2026-05-24,On Track
SHP000028,BAT000028,DRG0028,Nitrofurantoin 100mg,SUP017,Delhi Cold Hub,Hyderabad Depot,18.511375,78.31817,18.5,Normal,49.3,Normal,Minor,59.8,71,-96,2026-05-15 07:22:36,In Transit,2026-05-17,On Track
SHP000029,BAT000029,DRG0029,Rifampicin 150mg,SUP011,Ahmedabad Hub,Chennai Port,20.94015,74.243003,21.1,Normal,72.0,Normal,Normal,30.4,39,-84,2026-05-15 12:39:36,In Transit,2026-05-22,On Track
SHP000030,BAT000030,DRG0030,Rifampicin 300mg,SUP019,Chennai Port,Jaipur Depot,19.128985,78.313311,20.6,Normal,69.5,Normal,Normal,80.2,89,-78,2026-05-16 00:05:36,At Checkpoint,2026-05-20,On Track
SHP000031,BAT000031,DRG0031,Ethambutol 400mg,SUP013,Bengaluru Pharma Hub,Pune Distribution,17.400023,74.651665,29.6,WARNING: Near Limit,46.4,Normal,Normal,48.6,62,-89,2026-05-16 04:56:36,Delivered,2026-05-23,On Track
SHP000032,BAT000032,DRG0032,Isoniazid 300mg,SUP009,Chennai Port,Mumbai Warehouse,15.435804,77.345306,35.8,CRITICAL TEMP EXCURSION,38.8,Normal,Minor,16.4,21,-72,2026-05-16 05:35:36,At Checkpoint,2026-05-21,On Track
SHP000033,BAT000033,DRG0033,Pyrazinamide 500mg,SUP016,Pune Distribution,Delhi Cold Hub,18.96232,73.980137,35.9,CRITICAL TEMP EXCURSION,35.6,Normal,Normal,9.0,30,-104,2026-05-15 14:57:36,At Checkpoint,2026-05-22,On Track
SHP000034,BAT000034,DRG0034,Gentamicin 80mg Injection,SUP013,Delhi Cold Hub,Mumbai Warehouse,27.28697,76.612967,4.1,Normal,67.8,Normal,Normal,15.1,23,-85,2026-05-15 09:33:36,In Transit,2026-05-19,On Track
SHP000035,BAT000035,DRG0035,Ampicillin 500mg Injection,SUP011,Pune Distribution,Chennai Port,14.679761,78.305442,9.5,CRITICAL TEMP EXCURSION,37.4,Normal,Normal,81.1,92,-88,2026-05-16 04:43:36,In Transit,2026-05-18,On Track
SHP000036,BAT000036,DRG0036,Paracetamol 500mg,SUP019,Kolkata Cold Chain,Mumbai Warehouse,22.257678,87.112881,20.2,Normal,78.3,High Humidity Alert,ALERT: Severe,61.8,95,-94,2026-05-15 15:43:36,Delayed,2026-05-25,Breached
SHP000037,BAT000037,DRG0037,Paracetamol 650mg,SUP020,Ahmedabad Hub,Chennai Port,22.620355,72.868818,20.3,Normal,37.1,Normal,Minor,49.6,65,-65,2026-05-15 10:36:36,Delayed,2026-05-21,On Track
SHP000038,BAT000038,DRG0038,Paracetamol 1g IV,SUP019,Hyderabad Depot,Delhi Cold Hub,17.973866,78.40397,20.6,Normal,46.7,Normal,ALERT: Severe,1.1,94,-103,2026-05-16 06:38:36,In Transit,2026-05-21,On Track
SHP000039,BAT000039,DRG0039,Ibuprofen 200mg,SUP007,Bengaluru Pharma Hub,Mumbai Warehouse,18.325855,73.452457,27.1,Normal,33.5,Normal,Minor,27.0,98,-52,2026-05-16 03:32:36,In Transit,2026-05-26,On Track
SHP000040,BAT000040,DRG0040,Ibuprofen 400mg,SUP005,Pune Distribution,Bengaluru Pharma Hub,13.180333,77.470499,22.5,Normal,61.2,Normal,Normal,4.1,69,-106,2026-05-16 05:36:36,In Transit,2026-05-22,On Track
SHP000041,BAT000041,DRG0041,Ibuprofen 600mg,SUP019,Ahmedabad Hub,Mumbai Warehouse,20.470238,72.761543,27.9,Normal,33.2,Normal,Minor,34.8,76,-80,2026-05-15 21:46:36,In Transit,2026-05-19,On Track
SHP000042,BAT000042,DRG0042,Diclofenac 50mg,SUP004,Ahmedabad Hub,Jaipur Depot,24.079342,73.451891,25.9,Normal,61.4,Normal,Normal,27.6,67,-55,2026-05-15 23:04:36,In Transit,2026-05-16,On Track
SHP000043,BAT000043,DRG0043,Diclofenac 75mg Injection,SUP009,Kolkata Cold Chain,Ahmedabad Hub,22.804745,81.158065,18.1,Normal,38.8,Normal,Normal,74.6,29,-79,2026-05-15 23:29:36,Delivered,2026-05-21,On Track
SHP000044,BAT000044,DRG0044,Naproxen 250mg,SUP009,Chennai Port,Bengaluru Pharma Hub,12.951203,77.82588,20.2,Normal,33.4,Normal,Normal,59.5,93,-66,2026-05-16 01:38:36,In Transit,2026-05-19,On Track
SHP000045,BAT000045,DRG0045,Naproxen 500mg,SUP019,Chennai Port,Pune Distribution,17.694408,74.803965,30.2,CRITICAL TEMP EXCURSION,79.2,High Humidity Alert,Normal,75.5,25,-88,2026-05-15 22:24:36,In Transit,2026-05-26,On Track
SHP000046,BAT000046,DRG0046,Tramadol 50mg,SUP016,Jaipur Depot,Lucknow Store,26.853425,80.474379,28.8,Normal,34.9,Normal,Normal,40.0,37,-71,2026-05-16 06:31:36,In Transit,2026-05-26,On Track
SHP000047,BAT000047,DRG0047,Tramadol 100mg,SUP015,Pune Distribution,Ahmedabad Hub,20.062121,73.43356,24.5,Normal,47.8,Normal,Minor,77.5,31,-100,2026-05-15 10:29:36,Delayed,2026-05-25,On Track
SHP000048,BAT000048,DRG0048,Morphine 10mg Injection,SUP004,Chennai Port,Bengaluru Pharma Hub,13.011883,79.247311,27.6,Normal,39.9,Normal,Normal,79.6,38,-81,2026-05-15 18:07:36,In Transit,2026-05-24,On Track
SHP000049,BAT000049,DRG0049,Morphine 30mg SR,SUP003,Bengaluru Pharma Hub,Delhi Cold Hub,17.02177,77.534943,19.5,Normal,79.9,High Humidity Alert,Normal,8.2,64,-57,2026-05-16 01:13:36,In Transit,2026-05-24,On Track
SHP000050,BAT000050,DRG0050,Fentanyl 25mcg Patch,SUP015,Mumbai Warehouse,Bengaluru Pharma Hub,17.942035,73.736232,25.3,Normal,66.3,Normal,Normal,31.7,87,-60,2026-05-16 02:30:36,At Checkpoint,2026-05-25,On Track
SHP000051,BAT000051,DRG0051,Oxycodone 5mg,SUP005,Ahmedabad Hub,Mumbai Warehouse,20.320195,72.775016,24.0,Normal,41.6,Normal,Normal,29.9,90,-105,2026-05-15 10:39:36,In Transit,2026-05-25,On Track
SHP000052,BAT000052,DRG0052,Codeine 15mg,SUP003,Ahmedabad Hub,Lucknow Store,23.682048,73.962178,26.5,Normal,71.3,Normal,Normal,82.5,81,-76,2026-05-15 06:52:36,At Checkpoint,2026-05-19,On Track
SHP000053,BAT000053,DRG0053,Ketorolac 30mg Injection,SUP004,Delhi Cold Hub,Jaipur Depot,26.958845,75.782486,23.8,Normal,39.5,Normal,Minor,24.8,59,-55,2026-05-16 04:55:36,Delayed,2026-05-17,On Track
SHP000054,BAT000054,DRG0054,Celecoxib 100mg,SUP008,Bengaluru Pharma Hub,Lucknow Store,22.992406,79.965859,20.6,Normal,46.2,Normal,Normal,56.3,49,-102,2026-05-15 08:08:36,In Transit,2026-05-16,On Track
SHP000055,BAT000055,DRG0055,Celecoxib 200mg,SUP009,Chennai Port,Delhi Cold Hub,17.39016,79.399186,19.6,Normal,71.2,Normal,Minor,67.3,28,-84,2026-05-15 18:27:36,At Checkpoint,2026-05-25,On Track
SHP000056,BAT000056,DRG0056,Pregabalin 75mg,SUP002,Hyderabad Depot,Mumbai Warehouse,18.546828,74.734613,33.8,CRITICAL TEMP EXCURSION,83.8,High Humidity Alert,Normal,84.3,39,-96,2026-05-16 02:16:36,In Transit,2026-05-23,On Track
SHP000057,BAT000057,DRG0057,Pregabalin 150mg,SUP019,Ahmedabad Hub,Pune Distribution,19.156244,73.702111,26.6,Normal,32.3,Normal,Normal,45.3,73,-89,2026-05-16 05:08:36,Delivered,2026-05-20,On Track
SHP000058,BAT000058,DRG0058,Gabapentin 300mg,SUP010,Kolkata Cold Chain,Hyderabad Depot,22.606066,88.29114,25.1,Normal,81.4,High Humidity Alert,Normal,41.1,65,-85,2026-05-15 10:47:36,In Transit,2026-05-25,On Track
SHP000059,BAT000059,DRG0059,Gabapentin 600mg,SUP009,Jaipur Depot,Hyderabad Depot,25.611704,76.095964,25.2,Normal,52.9,Normal,ALERT: Severe,88.0,29,-80,2026-05-15 20:33:36,Delivered,2026-05-25,On Track
SHP000060,BAT000060,DRG0060,Etoricoxib 60mg,SUP002,Mumbai Warehouse,Bengaluru Pharma Hub,15.568572,75.594943,18.4,Normal,43.6,Normal,ALERT: Severe,48.7,55,-106,2026-05-15 09:35:36,Delivered,2026-05-22,On Track
SHP000061,BAT000061,DRG0061,Etoricoxib 90mg,SUP014,Bengaluru Pharma Hub,Lucknow Store,20.875714,79.466899,32.9,CRITICAL TEMP EXCURSION,57.6,Normal,Normal,36.5,67,-57,2026-05-15 16:29:36,Delivered,2026-05-23,On Track
SHP000062,BAT000062,DRG0062,Meloxicam 7.5mg,SUP007,Mumbai Warehouse,Kolkata Cold Chain,19.883143,76.464722,27.7,Normal,49.9,Normal,Normal,27.3,56,-61,2026-05-15 22:03:36,In Transit,2026-05-26,On Track
SHP000063,BAT000063,DRG0063,Meloxicam 15mg,SUP005,Mumbai Warehouse,Ahmedabad Hub,22.874757,72.55166,27.2,Normal,69.5,Normal,Minor,37.5,21,-91,2026-05-15 08:39:36,At Checkpoint,2026-05-22,On Track
SHP000064,BAT000064,DRG0064,Amlodipine 2.5mg,SUP015,Bengaluru Pharma Hub,Ahmedabad Hub,14.913638,76.629868,28.0,Normal,34.9,Normal,Normal,23.0,72,-68,2026-05-16 02:03:36,Delayed,2026-05-21,On Track
SHP000065,BAT000065,DRG0065,Amlodipine 5mg,SUP016,Jaipur Depot,Pune Distribution,24.640601,75.290607,25.6,Normal,82.5,High Humidity Alert,Minor,66.1,96,-50,2026-05-15 07:17:36,At Checkpoint,2026-05-17,On Track
SHP000066,BAT000066,DRG0066,Amlodipine 10mg,SUP018,Lucknow Store,Kolkata Cold Chain,26.1902,82.021564,19.0,Normal,63.0,Normal,ALERT: Severe,34.2,48,-98,2026-05-15 11:38:36,In Transit,2026-05-19,On Track
SHP000067,BAT000067,DRG0067,Enalapril 5mg,SUP014,Bengaluru Pharma Hub,Chennai Port,13.124249,80.098161,18.7,Normal,59.2,Normal,Normal,22.1,45,-50,2026-05-16 05:33:36,Delayed,2026-05-19,Breached
SHP000068,BAT000068,DRG0068,Enalapril 10mg,SUP019,Pune Distribution,Jaipur Depot,22.665072,74.869064,28.4,Normal,72.8,Normal,Normal,82.5,92,-67,2026-05-15 21:34:36,Delivered,2026-05-21,On Track
SHP000069,BAT000069,DRG0069,Losartan 25mg,SUP001,Ahmedabad Hub,Kolkata Cold Chain,22.797978,81.868607,27.3,Normal,79.6,High Humidity Alert,ALERT: Severe,30.2,45,-87,2026-05-15 22:33:36,Delivered,2026-05-21,On Track
SHP000070,BAT000070,DRG0070,Losartan 50mg,SUP015,Lucknow Store,Ahmedabad Hub,23.033513,72.634365,27.3,Normal,51.0,Normal,Normal,38.8,55,-102,2026-05-16 04:03:36,In Transit,2026-05-21,On Track
